8.210.142.146,12346,HK,Alibaba
8.210.200.31,11991,HK,Alibaba
8.210.152.145,26651,HK,Alibaba
8.210.7.36,43891,HK,Alibaba
8.217.229.36,43803,HK,Alibaba
8.217.45.219,42291,HK,Alibaba
8.217.45.219,18251,HK,Alibaba
8.218.142.77,587,HK,Alibaba
8.218.194.79,59882,HK,Alibaba
8.218.245.116,41528,HK,Alibaba
8.218.245.116,42805,HK,Alibaba
8.218.245.116,49701,HK,Alibaba
82.152.163.172,1233,HK,Hytron Network Services Limited
83.147.2.104,8080,HK,Akile
82.152.163.227,443,HK,Hytron Network Services
83.147.3.165,8080,HK,Akile
85.208.104.136,8080,HK,Akile
85.208.104.34,8080,HK,Akile
91.229.132.49,8080,HK,Akile
103.6.207.108,8080,ID,PT Pusat Media Indonesia
203.194.112.119,2053,ID,First Cagayan Converge Data Center Inc.
203.194.112.119,8443,ID,First Cagayan Converge Data Center Inc.
43.218.77.16,1443,ID,Amazon.com
35.219.15.90,443,ID,Google Cloud
35.219.50.99,443,ID,Google Cloud
103.111.114.79,443,IN,Melbikomas UAB
141.148.203.6,443,IN,Oracle Cloud
152.70.75.80,15805,IN,Oracle Cloud
172.105.62.71,2443,IN,Akamai Connected Cloud
134.195.137.107,22473,IN,OctoSEC LTD
20.235.105.146,443,IN,Microsoft Azure
45.39.198.40,8080,JP,Akile
45.39.198.43,8080,JP,Akile
150.95.25.108,2053,JP,Z.com
154.83.86.52,55555,MY,Octopus Web Solution
123.253.33.182,12306,MY,Gigabit Hosting Sdn Bhd
45.195.76.190,29690,MY,Evoxt Enterprise
38.60.195.203,10478,MY,Kaopu Cloud Hk Limited
38.60.193.247,13300,MY,Kaopu Cloud Hk Limited
61.245.11.69,2053,PH,R&R Managed Telecom Services
46.151.32.139,627,RO,Datacamp
154.91.84.10,8443,SG,TERAEXCH
101.32.247.126,725,SG,Tencent cloud computing
103.3.63.253,46683,SG,Akamai Connected Cloud
128.199.171.100,8443,SG,Digital Ocean
129.150.41.174,16462,SG,Oracle Cloud
129.150.36.188,53435,SG,Oracle Cloud
129.150.50.21,44009,SG,Oracle Cloud
129.150.62.1,24016,SG,Oracle Cloud
103.180.161.123,587,SG,Zillion-network
13.250.14.76,443,SG,Amazon.com
138.2.100.221,26621,SG,Oracle Cloud
104.248.145.216,443,SG,Digital Ocean
138.2.74.219,28616,SG,Cloudflare Warp
128.199.171.100,2053,SG,Digital Ocean
129.150.49.58,18650,SG,Oracle Cloud
139.162.33.248,587,SG,Akamai Connected Cloud
129.150.58.86,57621,SG,Oracle Cloud
139.162.48.174,10000,SG,Akamai Connected Cloud
13.228.142.218,443,SG,Amazon.com
13.229.159.215,443,SG,Amazon.com
13.228.155.72,443,SG,Amazon.com
143.42.68.97,17055,SG,Akamai Connected Cloud
13.250.131.37,443,SG,Amazon.com
138.2.101.213,15204,SG,Oracle Cloud
146.190.111.165,443,SG,Digital Ocean
146.235.19.79,28983,SG,Oracle Cloud
146.235.18.248,45137,SG,Oracle Cloud
138.2.69.236,23334,SG,Oracle Cloud
138.2.75.219,39341,SG,Oracle Cloud
138.2.77.179,30018,SG,Oracle Cloud
138.2.85.23,8080,SG,Oracle Cloud
138.2.90.127,55555,SG,Oracle Cloud
138.2.89.238,43254,SG,Oracle Cloud
